Province_State,Country_Region,Confirmed,Deaths
Ohio,US,-24496,-648
Ohio,US,22480,575
Ohio,US,-9189,-138
Ohio,US,22168,288
Ohio,US,-3172,-39
Ohio,US,-8849,-230
Ohio,US,14715,284
Ohio,US,-71890,-1273
Ohio,US,76806,1343
Ohio,US,-2523,-21
Ohio,US,-9857,-134
Ohio,US,14233,156
Ohio,US,-2747,-46
Ohio,US,2652,51
Ohio,US,-2049,-27
Ohio,US,-5843,-70
Ohio,US,7600,75
Ohio,US,-13486,-189
Ohio,US,14550,143
Ohio,US,790,23
Ohio,US,-12591,-197
Ohio,US,9692,113
Ohio,US,3505,58
Ohio,US,-2608,-12
Ohio,US,4714,30
Ohio,US,2027,29
Ohio,US,-39511,-996
Ohio,US,-10321,0
Ohio,US,45946,587
Ohio,US,13238,276
Ohio,US,13911,347
Ohio,US,-8213,-62
Ohio,US,5538,-13
Ohio,US,2788,57
Ohio,US,-31067,-361
Ohio,US,26928,255
Ohio,US,-5301,-136
Ohio,US,9900,209
Ohio,US,-11289,-137
Ohio,US,16117,177
Ohio,US,-1208,12
Oklahoma,US,3696,55
Oklahoma,US,-1353,-23
Oklahoma,US,2250,26
Oklahoma,US,-2846,-65
Oklahoma,US,2254,48
Oklahoma,US,-7055,-76
Oklahoma,US,4002,-21
Oklahoma,US,-17660,-148
Oklahoma,US,14994,111
Oklahoma,US,304,80
Oklahoma,US,6408,69
Oklahoma,US,2470,49
Oklahoma,US,-42713,-597
Oklahoma,US,43855,589
Oklahoma,US,-19940,-272
Oklahoma,US,20469,289
Oklahoma,US,-1982,-9
Oklahoma,US,-7929,-219
Oklahoma,US,6571,135
Oklahoma,US,-1990,-30
Oklahoma,US,6935,143
Oklahoma,US,261,13
Oklahoma,US,-9561,-193
Oklahoma,US,5820,112
Oklahoma,US,-3113,-82
Oklahoma,US,7741,177
Oklahoma,US,-31,-17
Oklahoma,US,416,19
Oklahoma,US,-116,-2
Oklahoma,US,-1303,-17
Oklahoma,US,179,-14
Oklahoma,US,-2100,-39
Oklahoma,US,3232,66
Oklahoma,US,-977,-25
Oklahoma,US,-5163,-117
Oklahoma,US,5233,111
Oklahoma,US,1524,15
Oklahoma,US,-292,23
Oklahoma,US,-6391,-62
Oklahoma,US,3502,-18
Oklahoma,US,-1029,1
Oklahoma,US,4290,86
Oklahoma,US,776,-3
Oklahoma,US,-1298,5
Oklahoma,US,-3869,-94
Oklahoma,US,-426,26
Oklahoma,US,1993,-15
Oklahoma,US,3012,39
Oklahoma,US,356,41
Oklahoma,US,-10644,-203
Oklahoma,US,11905,232
Oklahoma,US,171,2
Oklahoma,US,-450,-16
Oklahoma,US,-116258,-1788
Oklahoma,US,116701,1749
Oklahoma,US,-570,16
Oklahoma,US,1116,27
Oklahoma,US,6269,101
Oklahoma,US,-2625,-65
Oklahoma,US,-9136,-45
Oklahoma,US,5547,-38
Oklahoma,US,242,61
Oklahoma,US,-4965,-88
Oklahoma,US,10872,157
Oklahoma,US,1354,28
Oklahoma,US,-15057,-272
Oklahoma,US,12585,191
Oklahoma,US,-2666,21
Oklahoma,US,-648,-49
Oklahoma,US,3775,105
Oklahoma,US,3279,15
Oklahoma,US,-105544,-1616
Oklahoma,US,107164,1687
Oklahoma,US,-11566,769
Oklahoma,US,4757,14
Oklahoma,US,7156,170
Oklahoma,US,-17,6
Oklahoma,US,-2064,-24
Oklahoma,US,1989,22
Oregon,US,-3319,0
Oregon,US,-23728,-272
Oregon,US,29983,348
Oregon,US,-1243,-9
Oregon,US,-799,-39
Oregon,US,2655,60
Oregon,US,1495,31
Oregon,US,-18435,-89
Oregon,US,11064,-58
Oregon,US,13082,282
Oregon,US,-816,-9
Oregon,US,-56,-13
Oregon,US,-735,-5
Oregon,US,-20946,-273
Oregon,US,20912,298
Oregon,US,-5216,-131
Oregon,US,2037,121
Oregon,US,8040,133
Oregon,US,-26704,-286
Oregon,US,26657,315
Oregon,US,-9339,-79
Oregon,US,8852,101
Oregon,US,-30922,-369
Oregon,US,37742,481
Oregon,US,-53840,-682
Oregon,US,52395,755
Oregon,US,7984,95
Oregon,US,-1779,-29
Oregon,US,-12349,-105
Oregon,US,15087,180
Oregon,US,-3195,-49
Oregon,US,2682,42
Oregon,US,-2141,-28
Oregon,US,-35634,-278
Oregon,US,41459,392
Oregon,US,-8601,-112
Oregon,US,-3548,-77
Pennsylvania,US,-116719,-2062
Pennsylvania,US,138034,2272
Pennsylvania,US,-11884,-242
Pennsylvania,US,18463,350
Pennsylvania,US,-51033,-945
Pennsylvania,US,46162,816
Pennsylvania,US,12552,305
Pennsylvania,US,-64181,-1283
Pennsylvania,US,52967,979
Pennsylvania,US,8837,43
Pennsylvania,US,21643,544
Pennsylvania,US,-8268,-187
Pennsylvania,US,-11050,-34
Pennsylvania,US,-28394,-615
Pennsylvania,US,49753,781
Pennsylvania,US,-5415,-52
Pennsylvania,US,7588,152
Pennsylvania,US,-1996,-65
Pennsylvania,US,-1967,-22
Pennsylvania,US,-15293,-394
Pennsylvania,US,-3913,13
Pennsylvania,US,-24640,-810
Pennsylvania,US,61348,1469
Pennsylvania,US,-24286,-417
Pennsylvania,US,16990,143
Pennsylvania,US,18536,428
Pennsylvania,US,-20004,-422
Pennsylvania,US,21397,457
Pennsylvania,US,-2257,-15
Pennsylvania,US,-1364,-91
Pennsylvania,US,-1486,-48
Pennsylvania,US,5625,143
Pennsylvania,US,3078,27
Pennsylvania,US,-19520,-392
Pennsylvania,US,-46391,-760
Pennsylvania,US,66390,1136
Pennsylvania,US,-8290,-42
Pennsylvania,US,-25991,-580
Pennsylvania,US,11059,42
Pennsylvania,US,28655,622
Pennsylvania,US,13823,295
Pennsylvania,US,-7886,-220
Pennsylvania,US,8229,173
Pennsylvania,US,-11610,-140
Pennsylvania,US,-64160,-1462
Pennsylvania,US,88616,1824
Pennsylvania,US,-41755,-715
Pennsylvania,US,35000,414
Pennsylvania,US,9173,303
Pennsylvania,US,-177012,-3861
Pennsylvania,US,184432,4027
Pennsylvania,US,4030,24
Pennsylvania,US,-16913,-414
Pennsylvania,US,17026,394
Pennsylvania,US,-5282,-138
Pennsylvania,US,11328,248
Pennsylvania,US,-3007,-42
Pennsylvania,US,-65,-55
Pennsylvania,US,5407,146
Pennsylvania,US,-7413,-98
Pennsylvania,US,1713,-23
Pennsylvania,US,3810,39
Pennsylvania,US,-20501,-237
Pennsylvania,US,23521,315
Pennsylvania,US,-38648,-766
Pennsylvania,US,47793,904
Pennsylvania,US,-59270,-886
Pennsylvania,US,68482,1058
Puerto Rico,US,-1601,0
Puerto Rico,US,-446,0
Puerto Rico,US,1264,0
Puerto Rico,US,576,0
Puerto Rico,US,-312,0
Puerto Rico,US,-2797,0
Puerto Rico,US,3724,0
Puerto Rico,US,-624,0
Puerto Rico,US,-443,0
Puerto Rico,US,-11940,0
Puerto Rico,US,12125,0
Puerto Rico,US,-6290,0
Puerto Rico,US,6448,0
Puerto Rico,US,-1064,0
Puerto Rico,US,-8682,0
Puerto Rico,US,9865,0
Puerto Rico,US,-30,0
Puerto Rico,US,1183,0
Puerto Rico,US,-374,0
Puerto Rico,US,-758,0
Puerto Rico,US,615,0
Puerto Rico,US,242,0
Puerto Rico,US,-1029,0
Puerto Rico,US,1925,0
Puerto Rico,US,-2688,0
Puerto Rico,US,1055,0
Puerto Rico,US,1042,0
Puerto Rico,US,364,0
Puerto Rico,US,-741,0
Puerto Rico,US,636,0
Puerto Rico,US,-5269,0
Puerto Rico,US,3151,0
Puerto Rico,US,1108,0
Puerto Rico,US,1105,0
Puerto Rico,US,-1993,0
Puerto Rico,US,374,0
Puerto Rico,US,1924,0
Puerto Rico,US,-1053,0
Puerto Rico,US,-1200,0
Puerto Rico,US,2097,0
Puerto Rico,US,-400,0
Puerto Rico,US,743,0
Puerto Rico,US,-1617,0
Puerto Rico,US,401,0
Puerto Rico,US,513,0
Puerto Rico,US,-779,0
Puerto Rico,US,1756,0
Puerto Rico,US,-310,0
Puerto Rico,US,-2863,0
Puerto Rico,US,1280,0
Puerto Rico,US,444,0
Puerto Rico,US,378,0
Puerto Rico,US,-531,0
Puerto Rico,US,924,0
Puerto Rico,US,594,0
Puerto Rico,US,22,0
Puerto Rico,US,-270,0
Puerto Rico,US,-4209,0
Puerto Rico,US,3796,0
Puerto Rico,US,460,0
Puerto Rico,US,-2054,0
Puerto Rico,US,2307,0
Puerto Rico,US,-341,0
Puerto Rico,US,67,0
Puerto Rico,US,-23658,0
Puerto Rico,US,23028,0
Puerto Rico,US,284,0
Puerto Rico,US,1265,0
Puerto Rico,US,-4234,0
Puerto Rico,US,-190,0
Puerto Rico,US,1328,0
Puerto Rico,US,-208,-3221
Puerto Rico,US,3214,3266
Puerto Rico,US,-1203,0
Puerto Rico,US,-1491,0
Puerto Rico,US,3787,0
Puerto Rico,US,-692,0
Puerto Rico,US,-445,0
Puerto Rico,US,340,0
Puerto Rico,US,1061,0
Recovered,US,-6002,-149
Rhode Island,US,-15917,-240
Rhode Island,US,15395,346
Rhode Island,US,-104625,-2032
Rhode Island,US,107601,2098
Rhode Island,US,-1192,-160
Rhode Island,US,11486,131
South Carolina,US,-22872,-286
South Carolina,US,26092,334
South Carolina,US,-34905,-704
South Carolina,US,35263,723
South Carolina,US,-1704,-20
South Carolina,US,-23131,-221
South Carolina,US,-3310,-13
South Carolina,US,29786,302
South Carolina,US,-63049,-644
South Carolina,US,56471,491
South Carolina,US,3898,145
South Carolina,US,-644,-25
South Carolina,US,2440,11
South Carolina,US,-444,-52
South Carolina,US,-6189,-37
South Carolina,US,5838,119
South Carolina,US,-27208,-256
South Carolina,US,29892,331
South Carolina,US,1246,-35
South Carolina,US,-23193,-439
South Carolina,US,17475,377
South Carolina,US,-94351,-1223
South Carolina,US,95009,1291
South Carolina,US,9785,159
South Carolina,US,-58542,-793
South Carolina,US,59481,822
South Carolina,US,-7915,-116
South Carolina,US,-3671,-14
South Carolina,US,4967,14
South Carolina,US,9429,160
South Carolina,US,-51331,-623
South Carolina,US,49835,581
South Carolina,US,726,62
South Carolina,US,3548,53
South Carolina,US,-6051,-114
South Carolina,US,-7715,-62
South Carolina,US,1469,-86
South Carolina,US,-12786,-117
South Carolina,US,-40154,-265
South Carolina,US,67514,725
South Carolina,US,-58749,-1098
South Carolina,US,46927,938
South Carolina,US,16636,303
South Carolina,US,-4485,-101
South Carolina,US,-805,-20
South Carolina,US,-40772,-372
South Carolina,US,47420,509
South Dakota,US,-2698,-26
South Dakota,US,2986,38
South Dakota,US,-1127,-20
South Dakota,US,-3369,-8
South Dakota,US,-1261,-60
South Dakota,US,6379,90
South Dakota,US,489,-2
South Dakota,US,-1361,-14
South Dakota,US,1871,30
South Dakota,US,-1537,-22
South Dakota,US,1363,22
South Dakota,US,-1643,-13
South Dakota,US,-3207,-67
South Dakota,US,5277,73
South Dakota,US,-627,-2
South Dakota,US,-2260,-51
South Dakota,US,3201,40
South Dakota,US,200,19
South Dakota,US,-1095,-20
South Dakota,US,1504,23
South Dakota,US,-58,-5
South Dakota,US,-306,-8
South Dakota,US,743,9
South Dakota,US,-889,-29
South Dakota,US,745,16
South Dakota,US,441,20
South Dakota,US,-681,-29
South Dakota,US,672,34
South Dakota,US,-31,2
South Dakota,US,302,4
South Dakota,US,-2748,-42
South Dakota,US,2263,21
South Dakota,US,979,27
South Dakota,US,-168,-11
South Dakota,US,119,1
South Dakota,US,169,16
South Dakota,US,-770,-17
South Dakota,US,-598,-2
South Dakota,US,-2646,-39
South Dakota,US,-5508,-13
South Dakota,US,10121,67
South Dakota,US,366,3
South Dakota,US,-401,-17
South Dakota,US,674,20
South Dakota,US,-4104,-39
South Dakota,US,4545,49
South Dakota,US,-11,-7
South Dakota,US,-36768,-380
South Dakota,US,38769,384
South Dakota,US,-1551,-31
South Dakota,US,-17928,-193
South Dakota,US,21959,249
South Dakota,US,44,12
South Dakota,US,-1073,-38
South Dakota,US,1256,42
South Dakota,US,-615,-24
South Dakota,US,644,25
South Dakota,US,321,0
South Dakota,US,-1396,-33
South Dakota,US,914,19
South Dakota,US,-411,-41
South Dakota,US,1411,61
South Dakota,US,-2638,-45
South Dakota,US,1946,28
South Dakota,US,-2666,-19
South Dakota,US,3540,32
South Dakota,US,-12418,-205
Tennessee,US,4311,80
Tennessee,US,6707,107
Tennessee,US,-536,38
Tennessee,US,-20058,-243
Tennessee,US,2295,79
Tennessee,US,15366,137
Tennessee,US,4722,46
Tennessee,US,-2871,-58
Tennessee,US,-4616,-102
Tennessee,US,3857,157
Tennessee,US,3625,4
Tennessee,US,-1812,-36
Tennessee,US,4313,78
Tennessee,US,-5800,-69
Tennessee,US,-2923,-45
Tennessee,US,7469,102
Tennessee,US,-7618,-156
Tennessee,US,-109145,-917
Tennessee,US,119533,1126
Tennessee,US,1861,32
Tennessee,US,-7877,-119
Tennessee,US,2639,24
Tennessee,US,891,44
Tennessee,US,3811,42
Tennessee,US,-4137,-33
Tennessee,US,-2467,-85
Tennessee,US,4764,74
Tennessee,US,1833,61
Tennessee,US,-9065,-173
Tennessee,US,11346,210
Tennessee,US,-10033,-155
Tennessee,US,-50024,-440
Tennessee,US,63703,657
Tennessee,US,-3850,-58
Tennessee,US,-355,4
Tennessee,US,-4480,-79
Tennessee,US,6879,104
Tennessee,US,-1813,-23
Tennessee,US,432,20
Tennessee,US,986,17
Tennessee,US,2892,35
Tennessee,US,-1328,0
Tennessee,US,1265,8
Tennessee,US,-7772,-104
Tennessee,US,6598,103
Tennessee,US,-74280,-862
Tennessee,US,78414,915
Tennessee,US,-3172,-32
Tennessee,US,-4243,-53
Tennessee,US,7218,89
Tennessee,US,-4078,-41
Tennessee,US,-2259,-5
Tennessee,US,3957,8
Tennessee,US,-11995,-216
Tennessee,US,12294,271
Tennessee,US,-952,-27
Tennessee,US,-12332,-136
Tennessee,US,9290,107
Tennessee,US,6110,68
Tennessee,US,2619,44
Tennessee,US,-7441,-91
Tennessee,US,-22800,-202
Tennessee,US,32054,329
Tennessee,US,-2317,-23
Tennessee,US,-2686,-60
Tennessee,US,-22309,-21
Tennessee,US,24687,59
Tennessee,US,3290,49
Tennessee,US,559,10
Tennessee,US,-2057,-3
Tennessee,US,-13413,-185
Tennessee,US,10061,133
Tennessee,US,-2870,-51
Tennessee,US,-3730,-29
Tennessee,US,-47184,-349
Tennessee,US,58226,519
Tennessee,US,2686,33
Tennessee,US,-16910,-233
Tennessee,US,-123189,-1953
Tennessee,US,142959,2275
Tennessee,US,2114,18
Tennessee,US,-24357,-378
Tennessee,US,-6086,41
Tennessee,US,23738,302
Tennessee,US,8485,115
Tennessee,US,-18432,-94
Tennessee,US,19804,66
Tennessee,US,126,19
Tennessee,US,2151,23
Tennessee,US,-7290,-90
Tennessee,US,-12722,-194
Tennessee,US,18693,300
Tennessee,US,-2084,-47
Tennessee,US,745,-7
Tennessee,US,-33746,-170
Tennessee,US,13737,-58
Tennessee,US,19652,148
Texas,US,5308,152
Texas,US,-10745,-332
Texas,US,11273,352
Texas,US,1380,48
Texas,US,1018,16
Texas,US,-8223,-195
Texas,US,5232,155
Texas,US,2634,33
Texas,US,-1289,-23
Texas,US,-11870,-106
Texas,US,13861,162
Texas,US,-4706,-103
Texas,US,-33004,-569
Texas,US,-279648,-4334
Texas,US,325253,5235
Texas,US,1230,26
Texas,US,-2383,-53
Texas,US,-10235,-261
Texas,US,-46272,-473
Texas,US,22236,501
Texas,US,37936,344
Texas,US,886,15
Texas,US,-878,-40
Texas,US,-5859,-120
Texas,US,3877,114
Texas,US,-4041,-61
Texas,US,-859,-20
Texas,US,4620,118
Texas,US,2121,-17
Texas,US,-63617,-1714
Texas,US,64818,1752
Texas,US,1265,43
Texas,US,-3630,-120
Texas,US,3208,118
Texas,US,-7385,-18
Texas,US,2072,-159
Texas,US,5317,207
Texas,US,75,-2
Texas,US,1142,7
Texas,US,-192,3
Texas,US,-408,-35
Texas,US,-127439,-1061
Texas,US,131655,1152
Texas,US,-2116,-40
Texas,US,-16697,-390
Texas,US,17886,401
Texas,US,1658,56
Texas,US,-4367,-90
Texas,US,-5578,-51
Texas,US,10542,157
Texas,US,-621,-9
Texas,US,116,3
Texas,US,-204,-20
Texas,US,650,26
Texas,US,-800,-19
Texas,US,-400736,-5250
Texas,US,410364,5507
Texas,US,-746,-2
Texas,US,-369,10
Texas,US,2892,63
Texas,US,-105948,-979
Texas,US,110345,1039
Texas,US,-3519,-32
Texas,US,3229,28
Texas,US,-1325,-39
Texas,US,-174,-18
Texas,US,-23401,-443
Texas,US,26068,545
Texas,US,-147837,-2855
Texas,US,124285,2480
Texas,US,27782,379
Texas,US,3816,60
Texas,US,-2361,-99
Texas,US,1480,61
Texas,US,3199,77
Texas,US,-735,-21
Texas,US,1034,30
Texas,US,-99302,-941
Texas,US,100567,974
Texas,US,-1384,-30
Texas,US,-1138,3
Texas,US,1907,17
Texas,US,-61693,-627
Texas,US,64429,685
Texas,US,-2771,-55
Texas,US,3474,79
Texas,US,-543,-25
Texas,US,-2865,-55
Texas,US,93,6
Texas,US,-12279,-397
Texas,US,-2741,-30
Texas,US,14281,472
Texas,US,-18983,-225
Texas,US,17011,157
Texas,US,7578,180
Texas,US,-729,-14
Texas,US,197,3
Texas,US,705,12
Texas,US,-9887,-190
Texas,US,-562601,-8809
Texas,US,575982,9326
Texas,US,8378,182
Texas,US,318,-29
Texas,US,-32066,-357
Texas,US,33048,402
Texas,US,-8981,-328
Texas,US,-107281,-3081
Texas,US,113274,3337
Texas,US,1635,38
Texas,US,-5226,-61
Texas,US,4532,67
Texas,US,2623,66
Texas,US,-2878,-47
Texas,US,5262,129
Texas,US,-10296,-274
Texas,US,7463,226
Texas,US,3767,92
Texas,US,-742,-18
Texas,US,-1787,-29
Texas,US,-1223,-97
Texas,US,3883,155
Texas,US,-31383,-685
Texas,US,31011,704
Texas,US,-6213,-154
Texas,US,-20996,-352
Texas,US,25985,496
Texas,US,-802,20
Texas,US,-19642,-355
Texas,US,19177,343
Texas,US,5207,100
Texas,US,-62,-1
Texas,US,-6419,-129
Texas,US,6466,127
Texas,US,434,11
Texas,US,-488,-9
Texas,US,-3790,-116
Texas,US,4007,112
Texas,US,-859,-19
Texas,US,-7418,-164
Texas,US,5980,130
Texas,US,-493,29
Texas,US,425,-27
Texas,US,294,49
Texas,US,538,-11
Texas,US,-10224,-271
Texas,US,9415,250
Texas,US,3281,99
Texas,US,-1319,-26
Texas,US,-830,-34
Texas,US,2665,76
Texas,US,-65326,-994
Texas,US,66464,1015
Texas,US,-1610,-16
Texas,US,1347,-5
Texas,US,354,29
Texas,US,284,17
Texas,US,-5472,-148
Texas,US,-6627,-243
Texas,US,12002,376
Texas,US,-41129,-670
Texas,US,42885,743
Texas,US,-6763,-154
Texas,US,6679,157
Texas,US,-27582,-352
Texas,US,25598,298
Texas,US,2934,62
Texas,US,-63,-11
Texas,US,-2063,-49
Texas,US,-84286,-952
Texas,US,85878,1028
Texas,US,1970,36
Texas,US,1504,47
Texas,US,-7610,-216
Texas,US,-788,51
Texas,US,7926,138
Texas,US,-1516,-21
Texas,US,-63994,-1166
Texas,US,66488,1257
Texas,US,1230,32
Texas,US,-13295,-274
Texas,US,9176,184
Texas,US,1893,14
Texas,US,-21113,-202
Texas,US,23272,310
Texas,US,-733,-9
Texas,US,-3556,-144
Texas,US,-17314,-328
Texas,US,23810,537
Texas,US,-593,-16
Texas,US,-22003,-299
Texas,US,24663,358
Texas,US,73,-8
Texas,US,-803,-29
Texas,US,-2104,2
Texas,US,2504,27
Texas,US,1105,30
Texas,US,-2835,-62
Texas,US,-14550,-152
Texas,US,16117,169
Texas,US,-6403,-121
Texas,US,7211,117
Texas,US,70,40
Texas,US,-1946,-39
Texas,US,-4054,-204
Texas,US,6173,269
Texas,US,646,19
Texas,US,-2820,-73
Texas,US,3054,79
Texas,US,-2425,-103
Texas,US,2662,96
Texas,US,-35981,-760
Texas,US,35596,800
Texas,US,-10059,-307
Texas,US,10587,298
Texas,US,1020,32
Texas,US,-44,-1
Texas,US,-378,-5
Texas,US,-855,-11
Texas,US,-357635,-4606
Texas,US,347455,4347
Texas,US,23301,580
Texas,US,-1979,-61
Texas,US,2115,61
Texas,US,-5568,-94
Texas,US,-19050,-276
Texas,US,-93689,-1021
Texas,US,120586,1406
Texas,US,-802,-9
Texas,US,2478,70
Texas,US,-5797,-139
Texas,US,5283,140
Texas,US,-5691,-93
Texas,US,-4172,-133
Texas,US,2719,47
Texas,US,-4838,-116
Texas,US,1508,175
Texas,US,5337,106
Texas,US,4704,57
Texas,US,-3723,-94
Texas,US,-50872,-764
Texas,US,50935,730
Texas,US,5534,176
Texas,US,-21062,-481
Texas,US,19921,471
Texas,US,-2316,-43
Texas,US,-70958,-581
Texas,US,71022,596
Texas,US,6457,113
Texas,US,-9895,-160
Texas,US,5112,-14
Texas,US,5440,200
Texas,US,-1598,-32
Texas,US,786,27
Texas,US,-301,-7
Texas,US,-27666,-92
Utah,US,19999,73
Utah,US,-39227,-146
Utah,US,-132110,-854
Utah,US,206439,1187
Utah,US,-3143,0
Utah,US,-33369,-335
Utah,US,36666,422
Utah,US,-4207,-45
Utah,US,5117,11
Utah,US,7375,77
Utah,US,-122305,-529
Utah,US,128475,563
Utah,US,-36609,-263
Utah,US,46482,321
Vermont,US,-1325,-17
Vermont,US,2195,17
Vermont,US,-8723,-102
Vermont,US,12246,129
Vermont,US,-2368,-46
Vermont,US,3602,50
Vermont,US,-865,-4
Vermont,US,292,4
Vermont,US,-970,-7
Vermont,US,-429,-4
Vermont,US,5065,31
Vermont,US,-3393,-22
Vermont,US,1906,4
Vermont,US,34,-3
Vermont,US,-3666,-45
Virgin Islands,US,3452,10
Virginia,US,-3756,-18
Virginia,US,-5724,-38
Virginia,US,12634,80
Virginia,US,832,43
Virginia,US,-2754,-14
Virginia,US,2130,25
Virginia,US,-15957,-233
Virginia,US,9283,154
Virginia,US,10112,122
Virginia,US,-9295,-133
Virginia,US,9290,146
Virginia,US,-2679,-29
Virginia,US,1860,8
Virginia,US,587,17
Virginia,US,-521,-24
Virginia,US,125,38
Virginia,US,1448,14
Virginia,US,-5673,-107
Virginia,US,3677,95
Virginia,US,317,-39
Virginia,US,3586,85
Virginia,US,-534,-5
Virginia,US,-3948,-32
Virginia,US,-23066,-292
Virginia,US,-9625,-170
Virginia,US,39791,543
Virginia,US,-1077,-36
Virginia,US,1910,53
Virginia,US,233,12
Virginia,US,-5776,-73
Virginia,US,6152,73
Virginia,US,-5435,-165
Virginia,US,4841,172
Virginia,US,-1190,-23
Virginia,US,2586,16
Virginia,US,-394,29
Virginia,US,-90008,-1158
Virginia,US,93643,1156
Virginia,US,555,27
Virginia,US,-6173,-71
Virginia,US,6002,59
Virginia,US,-1067,9
Virginia,US,-3068,-73
Virginia,US,4775,69
Virginia,US,-9784,-102
Virginia,US,9218,135
Virginia,US,1661,-36
Virginia,US,-638,34
Virginia,US,-1438,-43
Virginia,US,2005,50
Virginia,US,77,-14
Virginia,US,70,16
Virginia,US,437,17
Virginia,US,-1884,-77
Virginia,US,-10794,-125
Virginia,US,3776,55
Virginia,US,4170,98
Virginia,US,-25659,-594
Virginia,US,29157,580
Virginia,US,6798,168
Virginia,US,-3485,-82
Virginia,US,-698,3
Virginia,US,-2366,-4
Virginia,US,4749,75
Virginia,US,913,0
Virginia,US,1430,17
Virginia,US,-388,-13
Virginia,US,-2605,-36
Virginia,US,2337,27
Virginia,US,-32252,-259
Virginia,US,32415,259
Virginia,US,2374,32
Virginia,US,-10511,-163
Virginia,US,10954,174
Virginia,US,-3968,-29
Virginia,US,3989,42
Virginia,US,-740,-74
Virginia,US,1324,70
Virginia,US,-2465,-58
Virginia,US,2619,58
Virginia,US,-10708,-72
Virginia,US,10748,98
Virginia,US,-936,-2
Virginia,US,-17821,-265
Virginia,US,-3129,-30
Virginia,US,23839,313
Virginia,US,-30,16
Virginia,US,681,23
Virginia,US,-1932,-49
Virginia,US,-985,16
Virginia,US,649,-15
Virginia,US,1562,31
Virginia,US,-2949,-49
Virginia,US,-2950,-7
Virginia,US,7108,110
Virginia,US,-11149,-216
Virginia,US,10209,222
Virginia,US,22,-22
Virginia,US,-1925,11
Virginia,US,-49372,-506
Virginia,US,52698,495
Virginia,US,1469,62
Virginia,US,2450,31
Virginia,US,-1095,-8
Virginia,US,-21995,-327
Virginia,US,13140,205
Virginia,US,474,-52
Virginia,US,10632,199
Virginia,US,-7026,-84
Virginia,US,5992,108
Virginia,US,650,10
Virginia,US,590,-9
Virginia,US,-2945,-74
Virginia,US,2033,56
Virginia,US,2749,60
Virginia,US,-12431,-79
Virginia,US,151,56
Virginia,US,13429,29
Virginia,US,-7299,-149
Virginia,US,10595,236
Virginia,US,-919,-16
Virginia,US,-4063,-69
Virginia,US,6019,116
Virginia,US,-49353,-542
Virginia,US,46212,487
Virginia,US,-2165,-49
Virginia,US,4402,112
Virginia,US,1928,18
Virginia,US,814,23
Virginia,US,-2466,-40
Virginia,US,-1417,-72
Virginia,US,1355,33
Virginia,US,-678,35
Virginia,US,2473,52
Washington,US,579,-16
Washington,US,-27931,-314
Washington,US,21157,282
Washington,US,7339,59
Washington,US,-35572,-410
Washington,US,44279,528
Washington,US,-12850,-222
Washington,US,8270,217
Washington,US,5748,30
Washington,US,-19168,-160
Washington,US,20380,175
Washington,US,-15519,-134
Washington,US,8309,41
Washington,US,5416,100
Washington,US,3337,33
Washington,US,-160000,-1943
Washington,US,155287,1828
Washington,US,13102,192
Washington,US,3250,37
Washington,US,-7610,-118
Washington,US,9475,150
Washington,US,-4214,-41
Washington,US,1318,2
Washington,US,3790,62
Washington,US,377,12
Washington,US,-89054,-840
Washington,US,97696,955
Washington,US,-10362,-109
Washington,US,11924,121
Washington,US,-63058,-738
Washington,US,441,-192
Washington,US,71847,982
Washington,US,-14783,-122
Washington,US,21072,251
Washington,US,1264,-1
Washington,US,-8395,-94
Washington,US,-6800,-41
Washington,US,12326,100
Washington,US,-36875,-502
Washington,US,42387,584
West Virginia,US,-15454,-126
West Virginia,US,16397,141
West Virginia,US,1803,43
West Virginia,US,-677,-47
West Virginia,US,-11499,-183
West Virginia,US,14933,279
West Virginia,US,-168,-13
West Virginia,US,166,12
West Virginia,US,-4664,-109
West Virginia,US,5330,126
West Virginia,US,-690,-19
West Virginia,US,-2467,-53
West Virginia,US,2030,58
West Virginia,US,-553,-62
West Virginia,US,2139,89
West Virginia,US,-8348,-109
West Virginia,US,8142,99
West Virginia,US,-2521,8
West Virginia,US,-17012,-377
West Virginia,US,23325,481
West Virginia,US,504,15
West Virginia,US,-2091,-84
West Virginia,US,-2334,43
West Virginia,US,3611,12
West Virginia,US,2055,66
West Virginia,US,996,14
West Virginia,US,-5456,-122
West Virginia,US,4906,73
West Virginia,US,309,40
West Virginia,US,-8180,-50
West Virginia,US,12143,122
West Virginia,US,139,-14
West Virginia,US,-1323,4
West Virginia,US,-1881,-42
West Virginia,US,5456,100
West Virginia,US,-187,-15
West Virginia,US,324,12
West Virginia,US,-3866,-63
West Virginia,US,-2907,-22
West Virginia,US,-1633,-32
West Virginia,US,7219,145
West Virginia,US,4009,37
West Virginia,US,67,4
West Virginia,US,357,-5
West Virginia,US,-690,-6
West Virginia,US,1468,18
West Virginia,US,-127,13
West Virginia,US,1433,24
West Virginia,US,-3922,-62
West Virginia,US,-1219,-7
West Virginia,US,4798,73
West Virginia,US,-1170,-26
West Virginia,US,1909,48
West Virginia,US,-12059,-225
West Virginia,US,10306,205
West Virginia,US,1144,34
Wisconsin,US,1204,19
Wisconsin,US,-6260,-71
Wisconsin,US,7786,76
Wisconsin,US,-43550,-292
Wisconsin,US,48912,327
Wisconsin,US,32,-24
Wisconsin,US,-5616,-26
